t,cmd_pitch,cmd_roll
3.93,-0.0313410110635737,-0.00700852904733535
3.931,-0.0325749016893613,-0.00703762052592442
3.932,-0.0338088744691091,-0.00706714163126036
3.933,-0.0350428472488573,-0.00709666273659632
3.934,-0.0362768759020963,-0.00712726106441234
3.935,-0.0375109340758445,-0.00715842853790623
3.936,-0.0387449922495926,-0.00718959601140013
3.937,-0.0399790984277344,-0.00722123262073631
3.938,-0.0412132556945116,-0.00725336850750777
3.939,-0.0424474129612889,-0.00728550439427922
3.94,-0.0436817019624689,-0.00731778023773188
3.941,-0.0449162780014028,-0.0073503610345643
3.942,-0.0461508540403362,-0.00738294183139671
3.943,-0.0473855603569648,-0.00741553086744224
3.944,-0.0486210366738148,-0.00744816860097147
3.945,-0.0498565129906654,-0.0074808063345007
3.946,-0.0510919893075155,-0.00751344406802993
3.947,-0.0523288246933371,-0.00754583166111485
3.948,-0.0535656951506524,-0.0075782127991933
3.949,-0.0548025656079682,-0.00761059393727177
3.95,-0.0560408797804998,-0.00764250854694351
3.951,-0.0572795437196997,-0.00767431013149464
3.952,-0.0585182076588997,-0.00770611171604576
3.953,-0.059758189016772,-0.00773728319914255
3.954,-0.060998927257626,-0.00776809267653976
3.955,-0.0622396654984801,-0.00779890215393697
3.956,-0.0634814542310058,-0.00782899318493781
3.957,-0.0647244503815106,-0.00785825844537904
3.958,-0.0659674465320149,-0.00788752370582025
3.959,-0.0672111378877181,-0.00791612945560601
3.96,-0.0684564875945559,-0.00794316200046578
3.961,-0.0697018373013942,-0.00797019454532557
3.962,-0.0709474748064327,-0.00799685210361833
3.963,-0.0721951173548128,-0.00802089719137535
3.964,-0.0734427599031929,-0.00804494227913236
3.965,-0.0746904024515736,-0.00806898736688939
3.966,-0.0759399882046116,-0.00808952044503024
3.967,-0.0771896641262586,-0.00810989055885304
3.968,-0.0784393400479056,-0.00813026067267585
3.969,-0.0796903786783293,-0.00814739371585871
3.97,-0.080941788787308,-0.00816364432374618
3.971,-0.0821931988962861,-0.00817989493163364
3.972,-0.0834459418965198,-0.00819334833174146
3.973,-0.084699516048835,-0.00820505747472518
3.974,-0.0859530902011507,-0.0082167666177089
3.975,-0.0872066643534659,-0.00822847576069262
3.976,-0.0884631812062622,-0.0082372887427042
3.977,-0.0897208883499889,-0.00824493025852001
3.978,-0.0909785954937161,-0.00825257177433582
3.979,-0.0922363026374428,-0.00826021329015162
3.98,-0.0934997617436322,-0.00826637454042907
3.981,-0.0947645869585552,-0.00827218422309927
3.982,-0.0960294121734788,-0.00827799390576947
3.983,-0.0972942373884019,-0.00828380358843966
3.984,-0.0985590626033249,-0.00828961327110986
3.985,-0.0998277252465362,-0.00829755656674261
3.986,-0.101096530525549,-0.00830557916798625
3.987,-0.102365335804562,-0.00831360176922988
3.988,-0.103634141083575,-0.00832162437047351
3.989,-0.104902258921655,-0.00833033991026861
3.99,-0.1061653472492,-0.0083441251827183
3.991,-0.107428435576744,-0.00835791045516798
3.992,-0.108691523904289,-0.00837169572761766
3.993,-0.109947014743264,-0.00838960145749986
3.994,-0.111195975629087,-0.00841104867267134
3.995,-0.112444936514909,-0.0084324958878428
3.996,-0.113693897400731,-0.00845394310301427
3.997,-0.114926316955902,-0.00848289109621633
3.998,-0.116157962853114,-0.00851218990984163
3.999,-0.117387554770715,-0.00854231532109486
4,-0.11860674827201,-0.00857662544100051
4.001,-0.119811527796355,-0.00861559108611101
4.002,-0.1210163073207,-0.00865455673122148
4.003,-0.122219542762092,-0.00869393262561473
4.004,-0.123405224605751,-0.00873797235679635
4.005,-0.124590906449409,-0.00878201208797793
4.006,-0.125761767196171,-0.00882860949829414
4.007,-0.126929960072753,-0.00887566730340656
4.008,-0.128087184217616,-0.00892361444792774
4.009,-0.129237514349587,-0.0089721205556459
4.01,-0.130381075258978,-0.00902049709430894
4.011,-0.131513622467615,-0.00906866282075793
4.012,-0.132643634968562,-0.00911649973558763
4.013,-0.133758969809574,-0.00916243261029866
4.014,-0.134874304650587,-0.00920836548500972
