t,ref_x,ref_y,ref_z,ref_yaw,meas_x,meas_y,meas_z,roll,pitch,yaw,w1,w2,w3,w4
9.729,0.988395999999936,0,1,0,0.9925018630397,-0.000441142482960373,1.00162618896167,0.000119691138856509,0.0892340533166402,-0.000138452177363493,0,0,0,0
9.73,0.988459999999936,0,1,0,0.992478482234752,-0.000439301624165336,1.00162700080638,0.000195464272864308,0.0895617714199529,-0.000138267542675226,0,0,0,0
9.731,0.988530999999936,0,1,0,0.99245576899844,-0.0004374179903674,1.00162785738168,0.000268656081179085,0.0898690330294718,-0.000138057861307766,0,0,0,0
9.732,0.988601999999936,0,1,0,0.992433294658251,-0.000435518401029025,1.00162872605222,0.000340849929208632,0.0901695424209669,-0.00013783617122103,0,0,0,0
9.733,0.988672999999936,0,1,0,0.992411972769675,-0.000433541841047219,1.00162965307101,0.000408229546998376,0.0904374786402854,-0.000137556550232297,0,0,0,0
9.734,0.988743999999936,0,1,0,0.992390650881099,-0.000431565281065416,1.0016305800898,0.000475609164788,0.0907054148596034,-0.000137276929243565,0,0,0,0
9.735,0.988814999999936,0,1,0,0.992370533437489,-0.000429511849121887,1.00163154919825,0.000538003875677064,0.0909417665237498,-0.000136919416818956,0,0,0,0
9.736,0.988885999999936,0,1,0,0.99235064537639,-0.000427443777170737,1.00163252632253,0.000599449227744625,0.0911721030151607,-0.000136547070231291,0,0,0,0
9.737,0.988956999999936,0,1,0,0.992331504756756,-0.000425333921619404,1.00163351864398,0.000658057131433963,0.0913840883109027,-0.000136115737188346,0,0,0,0
9.738,0.989027999999936,0,1,0,0.992313087051715,-0.000423183653573392,1.00163452566393,0.000713920696029214,0.0915783245952145,-0.00013562735329771,0,0,0,0
9.739,0.989098999999936,0,1,0,0.992294934329702,-0.000421021795325079,1.00163553455853,0.000768937601679137,0.0917663968384026,-0.000135114771883748,0,0,0,0
9.74,0.989169999999936,0,1,0,0.992278016584648,-0.000418805919908465,1.00163655219014,0.000820008578036199,0.091925741019879,-0.000134489415760901,0,0,0,0
9.741,0.989246999999936,0,1,0,0.992261098839595,-0.00041659004449185,1.00163756982176,0.000871079554393261,0.0920850852013554,-0.000133864059638053,0,0,0,0
9.742,0.989323999999936,0,1,0,0.992245467140336,-0.000414338157395092,1.00163858153595,0.000919091816114875,0.0922156821725995,-0.000133109598831264,0,0,0,0
9.743,0.989400999999936,0,1,0,0.99223007137958,-0.000412079663580377,1.00163959216453,0.000966542924764974,0.0923410051685827,-0.000132331452424948,0,0,0,0
9.744,0.989477999999936,0,1,0,0.992215464077816,-0.000409813832542383,1.00164059135692,0.0010129012042109,0.0924491248372816,-0.000131470574692134,0,0,0,0
9.745,0.989554999999936,0,1,0,0.992201604378024,-0.000407541044487431,1.00164157970572,0.00105822328358362,0.0925409326349909,-0.000130531252673373,0,0,0,0
9.746,0.989631999999936,0,1,0,0.992188024747788,-0.000405271548386484,1.00164256176049,0.00110347336428024,0.0926266769272554,-0.000129562812236841,0,0,0,0
9.747,0.989708999999936,0,1,0,0.992175707120796,-0.000403016885945692,1.00164351545413,0.00114839901641816,0.0926850988513784,-0.000128463163188827,0,0,0,0
9.748,0.989785999999936,0,1,0,0.992163389493805,-0.0004007622235049,1.00164446914777,0.00119332466855609,0.0927435207755013,-0.000127363514140812,0,0,0,0
9.749,0.989862999999936,0,1,0,0.992152380863686,-0.000398552793223328,1.00164538569207,0.00123951703666445,0.092773358296598,-0.000126137139935552,0,0,0,0
9.75,0.989939999999936,0,1,0,0.992141603344438,-0.000396351348937725,1.00164629567744,0.00128593305070966,0.0927981490781365,-0.00012488839168024,0,0,0,0
9.751,0.990021999999936,0,1,0,0.992131619012747,-0.000394196214231786,1.00164718016087,0.00133412753923198,0.0928051983575799,-0.00012357376214312,0,0,0,0
9.752,0.990103999999936,0,1,0,0.992122371980982,-0.000392084126153799,1.00164804093921,0.00138397519173659,0.0927957561930173,-0.000122197893289049,0,0,0,0
